WINNING CREATURE
clevelandcavaliers 2054.49 296.731
losangelesclippers 1953.66 179.783
atlantahawks 1841.64 257.117
indianapacers 1737.87 244.038
bostonceltics 1737.4 234.669
miamiheat 1724.21 292.052
portlandtrailblazers 1719.36 314.947
charlottehornets 1625.25 337.779
utahjazz 1554.39 240.25
dallasmavericks 1543.14 126.763
memphisgrizzlies 1458.56 275.908
washingtonwizards 1450.55 225.731
houstonrockets 1421.96 232.279
orlandomagic 1390.52 263.233
detroitpistons 1384.94 307.436
chicagobulls 1342.94 251.196
16781.3
WINNING CREATURE
goldenstatewarriors 2479.18 233.555
oklahomacitythunder 2175.79 226.412
sanantoniospurs 2175.6 264.951
clevelandcavaliers 2141.79 276.6
torontoraptors 2020.26 269.537
losangelesclippers 1952.43 200.031
atlantahawks 1852.13 216.09
portlandtrailblazers 1795.22 312.161
indianapacers 1771.13 224.566
miamiheat 1759.78 340.244
bostonceltics 1742.56 233.418
charlottehornets 1646.21 289.293
dallasmavericks 1595.03 114.717
utahjazz 1529.11 241.711
memphisgrizzlies 1517.34 266.528
houstonrockets 1437.39 215.487
washingtonwizards 1433.01 209.729
orlandomagic 1401.07 299.715
detroitpistons 1355.5 292.304
chicagobulls 1322.69 267.037
16775
WINNING CREATURE
goldenstatewarriors 2537.06 156.877
sanantoniospurs 2174.32 366.774
clevelandcavaliers 2106.13 266.398
torontoraptors 2072.22 322.79
oklahomacitythunder 2031.66 326.749
atlantahawks 1935.44 203.059
losangelesclippers 1925.69 171.488
miamiheat 1759.09 290.187
bostonceltics 1749.36 240.304
indianapacers 1707.43 323.528
portlandtrailblazers 1689.04 351.536
charlottehornets 1649.39 301.637
utahjazz 1533.92 212.926
dallasmavericks 1507.4 198.991
houstonrockets 1498.09 219.003
memphisgrizzlies 1480.43 227.681
detroitpistons 1458.61 271.002
orlandomagic 1410.03 269.3
washingtonwizards 1388.66 281.36
chicagobulls 1350.38 267.128
16775.6
WINNING CREATURE
goldenstatewarriors 2550.79 271.658
torontoraptors 2165.44 224.638
sanantoniospurs 2154.15 250.34
clevelandcavaliers 2121.48 307.255
losangelesclippers 2052.62 185.765
oklahomacitythunder 2042.05 272.139
